Country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 32
China,0,0,"22,574","54,87","87,166","154,727","222,288","365,765","509,242","1,434,772","1,829,953","2,069,069","2,334,000","3,286,000","4,443,000","5,234,000","5,717,619","7,188,000","8,882,000","9,299,000","13,790,994","18,264,761","18,418,876","19,271,808","22,116,825","23,722,890","24,503,326","28,118,794","29,015,434","27,809,196","25,720,665",
USA,"8,005,859","7,955,489","7,905,119","8,094,534","8,283,949","8,146,895","8,009,841","8,896,419","9,782,997","11,985,457","13,024,978","12,799,857","11,424,000","12,279,000","12,114,000","11,989,000","11,946,653","11,263,000","10,780,000","8,672,000","5,709,000","7,743,093","8,661,535","10,335,765","11,066,432","11,660,699","12,100,095","12,198,137","11,189,985","11,314,705","10,880,019",
Japan,"31,597","256,574","481,551","2,885,354","5,289,157","8,166,021","11,042,884","12,264,840","13,486,796","10,195,536","9,895,000","10,140,796","9,777,000","10,257,000","10,286,000","10,511,000","10,799,659","11,484,000","11,596,000","11,575,000","7,934,000","9,628,920","8,398,630","9,943,077","9,630,181","9,774,558","9,278,321","9,204,590","9,693,746","9,728,528","9,684,298",
India,"14,688","32,912","51,136","63,773","76,409","95,163","113,917","238,286","362,655",636,"818,193","801,36","814,611","894,796","1,161,000","1,511,000","1,638,674","2,019,000","2,253,000","2,332,000","2,641,000","3,557,073","3,927,411","4,174,713","3,898,425","3,840,160","4,160,585","4,519,341","4,782,896","5,174,645","4,516,017",
Germany,"306,064","1,181,107","2,056,149","2,949,198","3,842,247","3,860,400","3,878,553","4,427,553","4,976,552","4,667,364","5,687,000","5,526,615","5,691,000","5,469,000","5,506,000","5,569,000","5,757,710","5,819,000","6,213,000","6,045,000","5,209,000","5,905,985","6,146,948","5,649,260","5,718,222","5,907,548","6,033,164","5,746,808","5,645,581","5,120,409","4,661,328",
Mexico,0,"24,904","49,807","121,324","192,841","341,424","490,006","655,282","820,558","935,017","1,549,925","1,935,527","1,841,000","1,804,670","1,575,000","1,577,000","1,684,238","2,045,000","2,095,000","2,167,000","1,561,000","2,342,282","2,681,050","3,001,814","3,054,849","3,365,306","3,565,469","3,600,365","4,068,415","4,100,525","3,986,794",
S. Korea,0,0,0,"14,41","28,819","75,977","123,135","722,383","1,321,630","2,526,400","2,843,000","3,114,998","2,946,000","3,147,500","3,177,000","3,469,000","3,699,350","3,840,000","4,086,000","3,826,000","3,512,000","4,271,741","4,657,094","4,561,766","4,521,429","4,524,932","4,555,957","4,228,509","4,114,913","4,028,834","3,950,617",
Brazil,0,"66,521","133,041","274,565","416,089","790,632","1,165,174","1,039,820","914,466","1,629,008","1,350,000","1,681,517","1,817,000","1,791,530","1,827,000","2,317,000","2,530,840","2,611,000","2,977,000","3,215,000","3,182,000","3,381,728","3,407,861","3,402,508","3,712,380","3,364,890","2,429,463","2,156,356","2,699,672","2,879,809","2,944,988",
Spain,253,"29,231","58,209","298,671","539,132","860,396","1,181,659","1,617,505","2,053,350","2,333,787","2,852,000","3,032,874","2,849,000","2,855,000","3,029,000","3,012,000","2,752,500","2,777,000","2,889,000","2,541,000","2,170,000","2,387,900","2,373,329","1,979,179","2,163,338","2,402,978","2,733,201","2,885,922","2,848,335","2,819,565","2,822,355",
France,"357,512","863,361","1,369,210","2,059,648","2,750,086","3,064,260","3,378,433","3,573,713","3,768,993","3,474,705","3,180,000","3,348,361","3,628,000","3,601,000","3,620,000","3,665,000","3,549,008","3,169,000","3,015,000","2,568,000","2,047,000","2,229,421","2,242,928","1,967,765","1,740,000","1,817,000","1,972,000","2,082,000","2,227,000","2,270,000","2,202,460",
Thailand,0,0,0,"11,028","22,055","47,701","73,347","189,095","304,843","533,2","322,761","411,721",459,"584,951",742,"927,981","1,122,712","1,194,000","1,287,000","1,393,000","999,899","1,644,513","1,457,798","2,429,142","2,457,057","1,880,007","1,915,420","1,944,417","1,988,823","2,167,694","2,013,710",
Canada,"387,726","392,733","397,739","778,622","1,159,504","1,264,556","1,369,607","1,658,357","1,947,106","2,407,999","3,058,000","2,961,636","2,532,000","2,629,000","2,552,000","2,711,000","2,687,892","2,572,000","2,578,000","2,082,000","1,490,000","2,068,189","2,135,121","2,463,364","2,379,806","2,393,890","2,283,474","2,370,271","2,199,789","2,020,840","1,916,585",
Russia,0,0,0,0,0,0,0,0,0,994,"1,169,000","1,205,581","1,250,000","1,219,750","1,278,000","1,386,000","1,354,504","1,508,000","1,660,000","1,790,000",725,"1,403,244","1,990,155","2,233,103","2,184,266","1,886,646","1,384,399","1,303,989","1,551,293","1,767,674","1,719,000",
UK,"783,672","1,297,186","1,810,700","1,954,599","2,098,498","1,705,706","1,312,914","1,439,436","1,565,957","1,765,000","1,973,519","1,813,894","1,685,000","1,823,000","1,846,000","1,856,000","1,803,109","1,648,000","1,750,000","1,649,000","1,090,000","1,393,463","1,463,999","1,576,945","1,597,433","1,598,879","1,682,156","1,816,622","1,749,385","1,604,328","1,381,000",
Turkey,0,0,0,"12,5",25,"37,941","50,881","130,016","209,15",282,0,"430,947",0,0,0,0,"879,452","987,98","1,099,000","1,147,000",869,"1,094,557","1,189,131","1,072,978","1,125,534","1,170,445","1,358,796","1,485,927","1,695,731","1,550,150","1,461,000",
Czech Republic,0,0,0,0,0,0,0,0,0,216,0,"455,492",0,0,0,0,"602,237",0,0,0,0,"1,076,384","1,199,845","1,178,995","1,132,931","1,251,220","1,303,603","1,349,896","1,419,993","1,345,041","1,430,000",
Indonesia,0,0,0,0,0,"51,5",103,"51,5",0,"292,71",0,"379,3",0,0,0,0,"500,71",0,0,0,0,"702,508","838,388","1,052,895","1,206,368","1,298,523","1,098,780","1,177,389","1,216,615","1,343,714","1,286,000",
Iran,0,0,0,"17,5",35,98,161,"102,833","44,665",0,0,"277,985",0,0,0,0,"1,077,190","904,5","997,24","1,273,000","1,394,000","1,599,454","1,649,311","1,000,089","743,647","1,090,846","982,337","1,164,710","1,515,396","1,095,526",0,
Slovakia,0,0,0,0,0,0,0,0,0,"22,6",0,"181,783",0,0,0,0,"218,349",0,0,0,0,"561,933","639,763","926,555",975,993,"1,035,503","1,040,000","1,001,520","1,090,000",0,
Italy,"127,847","386,24","644,633","1,249,443","1,854,252","1,732,270","1,610,287","1,865,569","2,120,850","1,667,270","1,701,256","1,738,315","1,579,000","1,427,000","1,321,000","1,142,000","1,038,352","1,211,000","1,284,000","1,023,000",843,"838,186","790,348","671,768","658,206","697,864","1,014,223","1,103,516","1,142,210","1,060,068",0,
Poland,1,19,37,"75,044","113,087","265,461","417,834","382,905","347,975",381,0,"504,972",0,0,0,0,"613,2",0,0,0,0,"869,474","838,133","654,756","590,159","593,904","660,603","681,837","689,729","659,646",0,
South Africa,0,0,0,"148,787","297,573","351,17","404,766","369,773","334,779",,0,"345,297",0,0,0,0,"525,227",0,0,0,0,"472,049","532,545","539,424","545,913","566,083","615,658","599,004","589,951","610,854",0,
Malaysia,0,0,0,0,0,"52,114","104,227","147,904","191,58",164,0,"282,83",0,0,0,0,"563,408",0,0,0,0,"567,715","533,695","572,15","601,407","596,6","614,671","513,445","460,14","564,8",0,
Romania,0,6,12,"35,5",59,"91,5",124,109,94,93,0,"78,165",0,0,0,0,"194,802",0,0,0,0,"350,912","335,232","337,765","410,997","391,422","387,177","359,306","359,25","476,769",0,
Argentina,0,"44,5",89,"154,3","219,599","250,696","281,793","190,716","99,639",286,0,"339,632",0,0,0,0,"319,755",0,0,0,0,"716,54","828,771","764,495","791,007","617,329","533,683","472,776","472,158","466,649",0,
Hungary,0,"1,5",3,"1,5",0,0,0,0,0,53,0,"137,398",0,0,0,0,"152,015",0,0,0,0,"211,461","202,8","217,84","222,4","437,599","495,37",472,"505,4","430,988",0,
Morocco,0,0,0,0,0,0,0,0,0,0,0,"31,314",0,0,0,0,"33,992",0,0,0,0,"42,066","59,477","108,743","167,452","231,986","288,329","345,106","376,286","402,085",0,
Belgium,0,500,1,"148,5",296,"609,713","923,426","1,085,858","1,248,290",468,"1,017,061","1,033,294","1,187,000","1,057,000",909,"900,273","926,515",918,834,724,537,"555,302","595,084","538,848","503,504","516,832","409,34","399,427","379,14","308,493",0,
Portugal,0,0,0,0,0,"45,5",91,"58,5",26,57,0,"245,784",0,0,0,0,"226,834",0,0,0,0,"158,723","192,242","163,561","154,016","161,509","156,626","143,096","175,544","294,366",0,
Pakistan,0,0,0,0,0,0,0,0,0,0,0,"31,5",0,0,0,0,"153,393",0,0,0,0,"152,97","162,194","165,7","134,145","148,746","229,686","214,65","230,25","269,7",0,
Taiwan,0,0,0,0,0,0,0,191,382,406,0,"361,8",0,0,0,0,"446,345",0,0,0,0,"303,456","343,296","339,038","338,72","379,223","351,085","309,531","291,563","253,241",0,
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,"32,273",0,0,0,0,"94,437",0,0,0,0,"156,88","179,56","164,18","246,641","245,66","185,4","88,152","140,247","220,667",0,
Slovenia,0,0,0,0,0,0,0,0,0,0,0,"98,953",0,0,0,0,"187,247",0,0,0,0,"205,711","174,119","130,949","93,734","118,591","133,092","133,702","189,852","209,378",0,
Austria,0,"6,5",13,10,7,"10,5",14,17,20,68,0,"141,026",0,0,0,0,"253,279",0,0,0,0,"104,814","152,505","143,06","166,428","154,34","125,5",108,"99,88","164,9",0,
Finland,0,0,0,0,0,0,0,0,0,,0,"38,926",0,0,0,0,"21,644",0,0,0,0,"6,665","2,54","2,9","7,703","45,035","69,053","55,28","91,598","112,104",0,
Philippines,0,0,0,0,0,0,0,0,0,107,0,"38,877",0,0,0,0,"64,492",0,0,0,0,"65,625","53,921","55,36","52,26","106,938","112,493","116,686","141,251","79,763",0,
Egypt,0,0,0,0,0,0,0,0,0,0,0,"59,765",0,0,0,0,"123,425",0,0,0,0,"116,683","81,731","56,48","39,05","42,515",36,"36,23","36,64","71,6",0,
Serbia,0,0,0,0,0,0,0,0,0,0,0,"12,74",0,0,0,0,"14,179",0,0,0,0,"18,033","11,023","11,032","113,878","103,15","83,63","80,32","79,912","56,449",0,
Sweden,28,"78,5",129,220,311,314,317,"330,5",344,490,0,"301,343",0,0,0,0,"339,229",0,0,0,0,"217,084","188,969","162,814","161,08","154,173","188,987","205,374",226,291,279,
